,State_FIPS_Code,County_FIPS_Code,Diabetes,FluB_Ind,Syphilis_Ind,HepA_Rpt,HepA_Ind,HepA_Exp,HepB_Rpt,HepB_Ind,HepB_Exp,Meas_Ind,Pert_Ind,Pert_Exp,CRS_Ind
71,4,13,6.3,4.0,4.0,529.0,4.0,395.0,441.0,4.0,296.0,3.0,4.0,296.0,3.0
72,4,15,7.5,4.0,3.0,20.0,4.0,15.0,25.0,4.0,20.0,3.0,4.0,20.0,3.0
73,4,17,8.8,4.0,4.0,25.0,4.0,15.0,14.0,3.0,20.0,3.0,4.0,10.0,3.0
74,4,19,6.6,3.0,3.0,178.0,4.0,131.0,117.0,3.0,105.0,3.0,4.0,79.0,3.0
75,4,21,10.6,4.0,3.0,33.0,4.0,23.0,31.0,4.0,23.0,3.0,4.0,12.0,3.0
76,4,23,7.0,4.0,4.0,117.0,4.0,10.0,6.0,3.0,8.0,3.0,3.0,8.0,3.0
77,4,25,5.7,3.0,3.0,9.0,4.0,27.0,14.0,4.0,11.0,3.0,4.0,32.0,3.0
78,4,27,9.2,3.0,3.0,100.0,4.0,20.0,14.0,3.0,20.0,3.0,3.0,10.0,3.0
79,5,1,7.8,4.0,4.0,5.0,3.0,15.0,4.0,3.0,6.0,3.0,4.0,12.0,3.0
80,5,3,7.7,3.0,4.0,2.0,3.0,7.0,2.0,3.0,7.0,3.0,4.0,2.0,3.0
81,5,5,10.2,3.0,3.0,3.0,4.0,4.0,2.0,3.0,4.0,3.0,4.0,2.0,3.0
82,5,7,5.8,3.0,3.0,14.0,4.0,10.0,9.0,4.0,10.0,3.0,3.0,15.0,3.0
83,5,9,6.7,3.0,3.0,1.0,3.0,5.0,2.0,3.0,3.0,3.0,4.0,10.0,3.0
84,5,11,8.5,3.0,4.0,7.0,3.0,11.0,2.5,3.0,4.0,3.0,3.0,2.0,3.0
85,5,13,3.5,3.0,3.0,4.0,4.0,3.0,1.0,4.0,1.0,3.0,3.0,1.0,3.0
86,5,15,5.1,3.0,3.0,25.0,4.0,7.0,7.0,4.0,5.0,3.0,4.0,5.0,3.0
87,5,17,15.6,3.0,4.0,1.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,1.0,3.0
88,5,19,6.3,3.0,4.0,4.0,3.0,12.0,2.0,3.0,5.0,3.0,4.0,5.0,3.0
89,5,21,10.2,3.0,3.0,4.0,3.0,14.0,4.0,3.0,5.0,3.0,4.0,2.0,3.0
90,5,23,8.6,3.0,3.0,2.0,3.0,7.0,3.0,3.0,5.0,3.0,4.0,5.0,3.0
91,5,25,11.3,3.0,4.0,2.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,3.0
92,5,27,9.2,3.0,4.0,4.0,4.0,6.0,1.0,3.0,4.0,3.0,4.0,3.0,3.0
93,5,29,4.9,3.0,4.0,2.0,3.0,12.0,1.0,3.0,4.0,3.0,4.0,4.0,3.0
94,5,31,6.2,3.0,4.0,15.0,4.0,8.0,9.0,4.0,4.0,3.0,3.0,4.0,3.0
95,5,33,5.8,3.0,3.0,41.0,4.0,5.0,37.0,4.0,5.0,3.0,3.0,8.0,3.0
96,5,35,11.5,4.0,4.0,3.0,3.0,3.0,9.0,4.0,5.0,3.0,3.0,1.0,3.0
97,5,37,9.6,4.0,4.0,5.0,4.0,6.0,8.0,4.0,6.0,3.0,3.0,2.0,3.0
98,5,39,14.7,3.0,4.0,4.0,3.0,10.0,1.0,3.0,2.0,3.0,4.0,2.0,3.0
99,5,41,10.3,3.0,4.0,4.0,4.0,5.0,10.0,4.0,5.0,3.0,3.0,2.0,3.0
100,5,43,4.5,3.0,4.0,3.0,3.0,6.0,2.0,3.0,6.0,3.0,4.0,2.0,3.0
101,5,45,4.8,3.0,3.0,3.0,3.0,9.0,1.0,3.0,9.0,3.0,4.0,18.0,3.0
102,5,47,4.7,3.0,4.0,29.0,4.0,10.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0
103,5,49,6.8,3.0,3.0,4.0,3.0,10.0,2.0,4.0,3.0,3.0,4.0,2.0,3.0
104,5,51,8.0,3.0,4.0,14.0,4.0,13.0,14.0,4.0,9.0,3.0,4.0,4.0,3.0
105,5,53,4.0,3.0,3.0,8.0,4.0,6.0,4.0,4.0,3.0,3.0,4.0,5.0,3.0
106,5,55,9.9,4.0,4.0,1.0,3.0,4.0,6.0,4.0,4.0,3.0,4.0,2.0,3.0
107,5,57,10.3,4.0,4.0,4.0,3.0,9.0,2.0,3.0,7.0,3.0,4.0,2.0,3.0
108,5,59,9.3,3.0,3.0,1.0,3.0,5.0,3.0,3.0,3.0,3.0,4.0,9.0,3.0
109,5,61,12.7,4.0,4.0,7.0,3.0,9.0,3.5,3.0,3.0,3.0,4.0,3.0,3.0
110,5,63,7.2,3.0,4.0,5.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0
111,5,65,13.5,3.0,3.0,1.0,3.0,7.0,2.0,4.0,3.0,3.0,4.0,3.0,3.0
112,5,67,8.1,3.0,4.0,8.0,4.0,11.0,12.0,4.0,5.0,3.0,4.0,2.0,3.0
113,5,69,9.8,3.0,4.0,4.0,3.0,13.0,27.0,4.0,17.0,3.0,4.0,8.0,3.0
