,State_FIPS_Code,County_FIPS_Code,Diabetes,CHSI_County_Name,CHSI_State_Name,CHSI_State_Abbr,Strata_ID_Number,No_HS_Diploma,Unemployed,Sev_Work_Disabled,Major_Depression,Recent_Drug_Use,Ecol_Rpt_Ind,Salm_Rpt,Salm_Rpt_Ind,Salm_Exp,Shig_Rpt_Ind,Shig_Exp,Carbon_Monoxide_Ind,Nitrogen_Dioxide_Ind,Sulfur_Dioxide_Ind,Ozone_Ind,Particulate_Matter_Ind,Lead_Ind,EH_Time_Span
62,1,131,7.6,Wilcox,Alabama,AL,75,3147.0,307.0,558.0,679,638,0,3.0,0,23.0,0,8.0,0,0,0,0,0,0,1994-2003
63,1,133,8.5,Winston,Alabama,AL,41,6425.0,475.0,1190.0,1421,1156,0,17.0,0,46.0,0,22.0,0,0,0,0,0,0,1994-2003
64,4,1,7.5,Apache,Arizona,AZ,77,13318.0,2313.0,1323.0,3344,4052,0,126.0,1,58.0,1,27.0,0,0,0,0,0,0,1999-2003
65,4,3,9.1,Cochise,Arizona,AZ,7,16637.0,2737.0,3232.0,6938,7031,0,44.0,0,68.0,0,65.0,0,0,0,0,0,0,2001-2003
66,4,5,4.2,Coconino,Arizona,AZ,77,11564.0,3544.0,2509.0,6647,7642,1,163.0,1,100.0,1,47.0,0,0,0,0,0,0,1999-2003
67,4,7,8.8,Gila,Arizona,AZ,36,7580.0,1276.0,1698.0,2899,2771,0,45.0,1,46.0,0,31.0,0,0,0,1,0,0,1999-2003
68,4,9,10.9,Graham,Arizona,AZ,51,4771.0,809.0,868.0,1752,1964,1,35.0,1,33.0,0,18.0,0,0,0,0,0,0,1999-2003
69,4,11,5.0,Greenlee,Arizona,AZ,78,811.0,199.0,204.0,398,415,0,6.0,0,9.0,0,3.0,0,0,0,0,0,0,1994-2003
70,4,12,8.3,La Paz,Arizona,AZ,88,4520.0,521.0,586.0,1202,1068,0,21.0,0,26.0,1,15.0,0,0,0,0,0,0,1994-2003
71,4,13,6.3,Maricopa,Arizona,AZ,1,401456.0,74246.0,55889.0,195126,197150,0,1161.0,0,889.0,1,494.0,0,0,0,1,1,0,2001-2003
72,4,15,7.5,Mohave,Arizona,AZ,6,29449.0,3485.0,5833.0,10755,9923,1,41.0,0,80.0,0,50.0,0,0,0,0,0,0,2001-2003
73,4,17,8.8,Navajo,Arizona,AZ,8,17550.0,3140.0,2949.0,5446,6271,0,74.0,0,100.0,1,50.0,0,0,0,0,0,0,1999-2003
74,4,19,6.6,Pima,Arizona,AZ,3,99444.0,19949.0,18572.0,51475,52043,0,489.0,1,368.0,1,368.0,0,0,0,0,0,0,2001-2003
75,4,21,10.6,Pinal,Arizona,AZ,7,40746.0,4531.0,6954.0,12759,12869,1,121.0,1,111.0,1,105.0,0,0,0,1,1,0,2001-2003
76,4,23,7.0,Santa Cruz,Arizona,AZ,51,9488.0,1432.0,1058.0,2121,2334,0,57.0,1,39.0,1,21.0,0,0,0,0,1,0,1999-2003
