,State_FIPS_Code,County_FIPS_Code,CHSI_County_Name,CHSI_State_Name,CHSI_State_Abbr,Strata_ID_Number,No_Exercise,CI_Min_No_Exercise,CI_Max_No_Exercise,Few_Fruit_Veg,CI_Min_Fruit_Veg,CI_Max_Fruit_Veg,Obesity,CI_Min_Obesity,CI_Max_Obesity,High_Blood_Pres,CI_Min_High_Blood_Pres,CI_Max_High_Blood_Pres,Smoker,CI_Min_Smoker,CI_Max_Smoker,Diabetes,CI_Min_Diabetes,CI_Max_Diabetes,Uninsured,Elderly_Medicare,Disabled_Medicare,Prim_Care_Phys_Rate,Dentist_Rate,Community_Health_Center_Ind,HPSA_Ind
2762,48,483,Wheeler,Texas,TX,85,22.85,17.1,28.6,76.30000000000001,68.7,83.95,22.85,16.65,29.049999999999997,21.3,13.05,29.55,20.9,14.7,27.15,4.5,2.05,6.95,871.0,1041.0,111.0,104.2,41.7,2.0,2.0
2763,48,485,Wichita,Texas,TX,6,28.8,22.5,35.0,84.3,77.8,90.8,26.7,20.1,33.4,28.9,19.8,38.0,20.6,14.5,26.6,7.7,4.6,10.7,18033.0,16858.0,2605.0,105.6,59.6,1.0,2.0
2764,48,487,Wilbarger,Texas,TX,43,24.3,16.7,31.8,76.15,71.35,80.94999999999999,23.8,15.850000000000001,31.75,23.85,14.25,33.45,21.65,14.0,29.35,8.0,3.75,12.25,2572.0,2175.0,361.0,72.0,28.8,2.0,2.0
2765,48,489,Willacy,Texas,TX,68,21.35,15.399999999999999,27.25,80.1,73.95,86.19999999999999,24.05,17.4,30.700000000000003,16.7,8.850000000000001,24.65,20.549999999999997,14.149999999999999,26.950000000000003,6.9,3.95,9.850000000000001,6140.0,2250.0,371.0,24.5,14.7,1.0,2.0
2766,48,491,Williamson,Texas,TX,12,22.3,18.4,26.2,75.8,71.0,80.6,22.3,18.5,26.1,19.1,14.2,24.0,19.9,16.3,23.5,5.1,3.4,6.9,32417.0,19823.0,2372.0,52.5,15.6,1.0,2.0
2767,48,493,Wilson,Texas,TX,33,21.1,12.1,30.1,85.25,82.1,88.5,23.35,17.3,29.5,21.45,13.899999999999999,29.05,19.3,9.5,29.2,5.8,1.3,10.3,5454.0,3318.0,588.0,24.0,13.3,2.0,1.0
2768,48,495,Winkler,Texas,TX,42,14.8,6.85,22.65,81.85,73.6,90.05,18.25,9.55,27.0,19.85,11.3,28.45,22.95,15.75,30.200000000000003,3.55,5.1,6.85,1305.0,934.0,155.0,29.9,29.9,2.0,1.0
2769,48,497,Wise,Texas,TX,29,26.6,17.5,35.8,77.0,72.05,81.95,28.0,18.1,38.0,15.8,8.95,22.7,23.4,14.4,32.4,8.3,2.9,13.8,7423.0,4992.0,780.0,26.5,15.9,2.0,2.0
2770,48,499,Wood,Texas,TX,49,26.3,17.5,35.1,81.4,71.4,91.4,24.8,15.8,33.8,18.7,11.7,25.7,26.9,17.2,36.7,9.2,3.8,14.7,6330.0,7518.0,1040.0,41.6,19.6,2.0,2.0
2771,48,501,Yoakum,Texas,TX,42,26.9,19.9,33.8,78.65,71.6,85.69999999999999,22.75,17.6,27.95,28.55,20.299999999999997,36.8,28.85,22.1,35.5,11.35,5.95,16.85,1694.0,855.0,121.0,27.0,13.5,2.0,1.0
