,State_FIPS_Code,County_FIPS_Code,Diabetes,CHSI_County_Name,CHSI_State_Name,CHSI_State_Abbr,Strata_ID_Number,RHI_LBW_Ind,RHI_VLBW_Ind,RHI_Premature_Ind,RHI_Under_18_Ind,RHI_Over_40_Ind,RHI_Unmarried_Ind,RHI_Late_Care_Ind,RHI_Infant_Mortality_Ind,RHI_IM_Wh_Non_Hisp_Ind,RHI_IM_Bl_Non_Hisp_Ind,RHI_IM_Hisp_Ind,RHI_IM_Neonatal_Ind,RHI_IM_Postneonatal_Ind,RHI_Brst_Cancer_Ind,RHI_Col_Cancer_Ind,RHI_CHD_Ind,RHI_Homicide_Ind,RHI_Lung_Cancer_Ind,RHI_MVA_Ind,RHI_Stroke_Ind,RHI_Suicide_Ind,RHI_Injury_Ind
50,1,107,12.8,Pickens,Alabama,AL,76,8,8,8,6,5,6,8,6,5,7,-1,5,8,5,5,5,6,6,8,5,5,5
51,1,109,11.3,Pike,Alabama,AL,35,8,8,8,8,5,8,8,8,5,8,-1,8,8,7,8,6,8,5,8,6,6,5
52,1,111,8.1,Randolph,Alabama,AL,72,8,8,8,8,5,8,6,8,6,8,-1,8,6,8,8,6,8,5,8,8,8,7
53,1,113,9.7,Russell,Alabama,AL,8,8,8,8,8,5,6,8,8,8,8,-1,8,8,8,8,5,8,8,6,8,8,5
54,1,115,13.0,St. Clair,Alabama,AL,22,8,8,6,8,5,5,5,8,8,-1,-1,8,6,5,6,5,-1,8,8,8,8,7
55,1,117,4.8,Shelby,Alabama,AL,11,7,8,8,5,5,5,7,7,5,8,-1,7,8,5,5,5,7,5,8,8,5,7
56,1,119,11.8,Sumter,Alabama,AL,66,8,8,8,6,7,8,8,8,-1,8,-1,8,8,5,5,5,8,8,8,8,5,7
57,1,121,10.9,Talladega,Alabama,AL,8,8,8,8,8,5,6,8,8,8,5,-1,8,8,6,6,5,8,6,8,8,5,7
58,1,123,5.6,Tallapoosa,Alabama,AL,49,8,8,8,8,5,8,5,8,5,8,-1,8,5,8,6,6,8,8,6,8,8,7
59,1,125,7.9,Tuscaloosa,Alabama,AL,6,8,8,8,6,7,5,5,8,8,8,-1,8,8,5,6,5,5,8,6,8,6,5
60,1,127,11.5,Walker,Alabama,AL,24,8,8,8,8,5,5,5,8,8,8,-1,8,8,5,5,8,8,8,8,8,8,7
61,1,129,10.5,Washington,Alabama,AL,66,8,8,8,6,7,5,6,8,8,7,-1,8,8,8,5,6,8,8,6,8,5,5
62,1,131,7.6,Wilcox,Alabama,AL,75,8,8,8,8,7,8,8,8,-1,7,-1,8,8,8,6,5,8,5,8,8,-1,5
63,1,133,8.5,Winston,Alabama,AL,41,5,8,5,8,5,5,5,6,8,-1,-1,8,5,5,5,6,5,8,8,6,6,7
64,4,1,7.5,Apache,Arizona,AZ,77,5,7,5,8,8,8,8,8,6,-1,-1,7,8,5,5,5,8,5,8,5,8,8
65,4,3,9.1,Cochise,Arizona,AZ,7,5,5,5,6,7,6,8,6,8,-1,8,5,8,5,5,6,5,5,8,5,8,7
66,4,5,4.2,Coconino,Arizona,AZ,77,7,5,8,6,7,8,6,5,8,-1,8,7,5,8,5,5,8,5,6,8,6,5
67,4,7,8.8,Gila,Arizona,AZ,36,5,5,8,8,7,8,8,6,8,-1,8,5,8,8,6,5,8,5,6,5,8,8
68,4,9,10.9,Graham,Arizona,AZ,51,5,5,5,6,5,6,8,5,5,-1,5,5,5,5,8,5,6,5,6,6,8,5
69,4,11,5.0,Greenlee,Arizona,AZ,78,5,5,7,8,5,8,8,7,5,-1,8,7,7,8,7,7,-1,5,6,8,8,5
70,4,12,8.3,La Paz,Arizona,AZ,88,5,5,5,8,7,8,8,8,8,-1,8,8,6,7,5,5,8,5,8,5,8,8
71,4,13,6.3,Maricopa,Arizona,AZ,1,5,5,8,8,5,8,8,7,8,7,8,7,5,5,5,5,8,5,8,5,8,7
72,4,15,7.5,Mohave,Arizona,AZ,6,5,5,8,8,7,8,8,5,6,-1,5,5,6,5,8,6,8,8,8,5,8,7
73,4,17,8.8,Navajo,Arizona,AZ,8,5,5,6,8,7,8,8,6,6,-1,7,6,6,5,5,5,8,5,8,6,8,8
74,4,19,6.6,Pima,Arizona,AZ,3,5,5,5,8,5,8,8,6,5,8,8,5,6,5,5,5,8,5,8,5,8,7
75,4,21,10.6,Pinal,Arizona,AZ,7,5,5,6,8,5,8,8,6,8,-1,6,5,6,5,5,5,8,5,8,5,8,7
76,4,23,7.0,Santa Cruz,Arizona,AZ,51,5,5,5,6,7,6,8,5,-1,-1,7,5,5,5,5,5,5,5,6,5,5,5
77,4,25,5.7,Yavapai,Arizona,AZ,16,5,5,8,8,7,8,8,5,6,-1,5,5,6,5,5,5,7,5,8,5,8,7
78,4,27,9.2,Yuma,Arizona,AZ,7,5,5,5,6,7,6,8,5,6,-1,8,6,5,5,5,5,5,5,6,5,5,5
79,5,1,7.8,Arkansas,Arkansas,AR,75,8,8,8,6,5,6,8,5,5,5,-1,5,8,8,8,8,8,8,6,8,8,5
80,5,3,7.7,Ashley,Arkansas,AR,68,6,6,6,8,5,6,8,6,8,5,-1,6,8,8,6,8,6,8,6,8,8,5
81,5,5,10.2,Baxter,Arkansas,AR,50,5,5,5,6,7,5,8,6,8,-1,-1,6,6,5,8,5,-1,8,8,8,8,5
82,5,7,5.8,Benton,Arkansas,AR,13,5,5,7,8,5,5,8,5,8,-1,5,5,7,8,8,8,7,5,8,7,8,5
83,5,9,6.7,Boone,Arkansas,AR,49,5,5,5,6,5,5,8,5,8,-1,-1,5,6,5,8,8,-1,8,8,8,6,5
84,5,11,8.5,Bradley,Arkansas,AR,70,8,8,8,8,5,8,8,5,5,-1,-1,7,5,5,6,8,8,8,6,8,5,7
85,5,13,3.5,Calhoun,Arkansas,AR,43,8,8,8,8,7,8,8,8,-1,8,-1,8,5,7,6,6,-1,8,8,8,-1,7
86,5,15,5.1,Carroll,Arkansas,AR,64,5,5,5,8,7,7,8,8,8,-1,8,7,8,5,6,5,8,5,6,8,8,5
87,5,17,15.6,Chicot,Arkansas,AR,67,8,8,8,8,7,8,6,6,8,5,-1,5,8,8,8,8,8,8,6,6,5,7
88,5,19,6.3,Clark,Arkansas,AR,71,5,8,8,6,5,5,8,5,5,7,-1,5,8,6,6,6,-1,6,6,8,5,5
89,5,21,10.2,Clay,Arkansas,AR,63,8,8,8,8,5,5,8,8,8,-1,-1,8,6,5,8,8,8,8,8,8,8,7
90,5,23,8.6,Cleburne,Arkansas,AR,64,8,5,5,8,7,5,8,5,5,-1,-1,5,8,5,5,5,8,6,6,8,8,5
91,5,25,11.3,Cleveland,Arkansas,AR,41,8,5,8,6,5,5,8,5,5,-1,-1,5,5,-1,5,6,-1,6,6,8,6,5
